n_splits,model,fold,train_mae,train_rmse,train_r2,mae,rmse,r2,fit_seconds,predict_seconds,train_rows,validation_rows,shared_groups,shared_raw_game_ids,invalid_train_rows,invalid_validation_rows
5,XGBoost,3,0.05038808621157499,0.06847114760072073,0.9504458089979636,0.06288240891265286,0.08759698768749323,0.9182957821452172,0.28711449999536853,0.008446417006780393,32102,8026,0,0,62,14
5,XGBoost,4,0.05067312096771911,0.06881971324960758,0.9497658142239812,0.063329093041196,0.09049908501847541,0.9140101752054437,0.28854508300719317,0.008003666996955872,32103,8025,0,0,62,14
5,XGBoost,5,0.050506658310160844,0.06894273668671634,0.9496338907903017,0.06310447967322044,0.08862155032753358,0.9172369236244755,0.29151354198984336,0.009081208001589403,32103,8025,0,0,62,14
7,CatBoost,1,0.05527546417393531,0.07543670091680443,0.9398202290357216,0.06271412339962382,0.08794759367140684,0.9176535881832774,2.934414209012175,0.004553457998554222,34395,5733,0,0,61,15
7,CatBoost,2,0.05557915106780181,0.07570412636429162,0.9393569244321243,0.06074448148581535,0.08563533596875618,0.9222273145238965,3.2458886670065112,0.005198917002417147,34395,5733,0,0,61,15
7,CatBoost,3,0.05546343455200397,0.07552225023272362,0.9396925579880698,0.06055940648873238,0.08526280346608738,0.9224994768389285,3.877973499998916,0.06677662499714643,34395,5733,0,0,64,12
7,CatBoost,4,0.055515096167763386,0.07556892836240621,0.939551598893571,0.06070014960860806,0.08476217759922454,0.9239664078061753,3.7733940000034636,0.007680791997699998,34395,5733,0,0,69,7
7,CatBoost,5,0.05519909293496034,0.07519447873971088,0.9402045441106978,0.06188072606636886,0.08732706203875203,0.91885067049834,3.5220464580052067,0.004981791993486695,34396,5732,0,0,69,7
7,CatBoost,6,0.055643298504935816,0.07572744509344151,0.9391360434593652,0.060415466803027236,0.08558164129175518,0.9236965701227142,3.598741791007342,0.005873500005691312,34396,5732,0,0,67,9
7,CatBoost,7,0.05539056585833713,0.07549824655325565,0.9396397164725107,0.06180309320911777,0.08613626586452645,0.9216726928804347,2.656164500003797,0.005218250007601455,34396,5732,0,0,65,11
7,XGBoost,1,0.05075580086188166,0.0691088495080143,0.94949289424185,0.06507999079371393,0.0914720637084254,0.910921332475953,0.27537883300101385,0.007408084013150074,34395,5733,0,0,61,15
7,XGBoost,2,0.05097684737349068,0.06933370047500768,0.9491336149197559,0.06316620307759248,0.08930130699045846,0.9154260306908009,0.26876554200134706,0.006350374998874031,34395,5733,0,0,61,15
7,XGBoost,3,0.05107867317209331,0.06942928733971103,0.9490309569558102,0.06279955143895477,0.08834385831167348,0.9167971614614936,0.26382404200558085,0.007037250004941598,34395,5733,0,0,64,12
7,XGBoost,4,0.05098057144428099,0.06923833945952537,0.9492551961383783,0.06270837100285996,0.08735467062904999,0.9192442306026258,0.2528836669953307,0.006114500007242896,34395,5733,0,0,69,7
7,XGBoost,5,0.051088402652622225,0.06950145136678021,0.9489161027233692,0.06431604488431755,0.09104754968538771,0.9117887935672908,0.2602378330047941,0.005820917009259574,34396,5732,0,0,69,7
7,XGBoost,6,0.051508441615272245,0.07044690417395663,0.9473282926246661,0.06235913989677837,0.08857989578432297,0.9182565114982909,0.25196304099517874,0.006157374999020249,34396,5732,0,0,67,9
7,XGBoost,7,0.05080823786143511,0.06935061915567803,0.9490694664226411,0.0639834804801807,0.08982438219347713,0.9148215775485729,0.3759085000056075,0.0054167089983820915,34396,5732,0,0,65,11
10,CatBoost,1,0.05523247181238206,0.07524189303362745,0.9401219187499434,0.06480610295289015,0.09323622013856171,0.9073277160791305,3.3182339999912074,0.0045590420049848035,36115,4013,0,0,67,9
10,CatBoost,2,0.05574664935249461,0.07591510946507495,0.9389829303859484,0.06053245639420098,0.08538789806843304,0.9229877717079087,3.0859897500049556,0.003989083008491434,36115,4013,0,0,67,9
10,CatBoost,3,0.05566782592352765,0.07570644082044588,0.9392490347854665,0.06015401996591528,0.08450406675004278,0.9252907983109788,3.337042750004912,0.004945584005326964,36115,4013,0,0,71,5
10,CatBoost,4,0.05564279490056389,0.07576913895531709,0.9392548902833261,0.06112022891665503,0.08693190066194945,0.9197522787478435,3.0526199170126347,0.004278959007933736,36115,4013,0,0,71,5
10,CatBoost,5,0.055581444932223896,0.07570493296983519,0.9393705906325253,0.061027993235050225,0.08556763625297914,0.9221052174815145,3.029515125002945,0.0037564160011243075,36115,4013,0,0,71,5
10,CatBoost,6,0.05560295607674665,0.07584190759502644,0.9391357060203868,0.0620115030135632,0.0863470494121541,0.920860085934634,3.033767834000173,0.004165167003520764,36115,4013,0,0,68,8
10,CatBoost,7,0.055509308079756736,0.07568734645295352,0.9394059465333656,0.06126409913578688,0.08712193216254362,0.9191417202917715,3.1076954589952948,0.0038030830037314445,36115,4013,0,0,68,8
10,CatBoost,8,0.05560555123698512,0.07579332391786385,0.9393469753587455,0.06109095276744196,0.08463595516608015,0.9224261421876141,3.0712826670060167,0.004569292010273784,36115,4013,0,0,67,9
10,CatBoost,9,0.05561491735431909,0.07581167794281098,0.9390403227124011,0.06163528626067426,0.08584897089381073,0.9233936020328843,3.1633709159941645,0.004523999989032745,36116,4012,0,0,67,9
10,CatBoost,10,0.05571177457509459,0.0758479827259569,0.9390163390842355,0.06003803361980983,0.08396646019081824,0.92635922802142,3.158195042007719,0.00421245901088696,36116,4012,0,0,67,9
10,XGBoost,1,0.05094290023577378,0.06951592610925787,0.9488886827331324,0.06700453330409553,0.09521960664256084,0.9033429991705562,0.31610033300239593,0.006614917001570575,36115,4013,0,0,67,9
10,XGBoost,2,0.05142895888182707,0.06983148280564982,0.9483705582410127,0.061929237750036725,0.08767463894121054,0.9188076679307248,0.2850893750000978,0.006780750001780689,36115,4013,0,0,67,9
10,XGBoost,3,0.051300273090912896,0.06991920634143917,0.9481820170390779,0.06183246538292223,0.08681707978302818,0.9211450023116391,0.2942529169959016,0.006419875004212372,36115,4013,0,0,71,5
10,XGBoost,4,0.051663591994723604,0.07030585680501325,0.9476990439790084,0.06383918165578734,0.09092726640910985,0.9122064463475841,0.2819789169880096,0.006585582988918759,36115,4013,0,0,71,5
10,XGBoost,5,0.051346851158406655,0.06974221069468696,0.9485451403310068,0.06327566534343496,0.08936888502307912,0.9150307121591199,0.3265679589967476,0.0059987909917254,36115,4013,0,0,71,5
10,XGBoost,6,0.051103148010817764,0.06969958816196542,0.9485951002377387,0.06336149451539294,0.08919840656315617,0.9155470618834071,0.6674697080015903,0.007453708996763453,36115,4013,0,0,68,8
10,XGBoost,7,0.05124613686948475,0.06998901088210265,0.9481864726941416,0.06277499534868405,0.08940639602487863,0.9148456814336906,0.3047599159908714,0.007314250004128553,36115,4013,0,0,68,8
10,XGBoost,8,0.0511243817904988,0.06964310448058363,0.9487909403469282,0.06301661901951436,0.08677659635583873,0.9184524695351521,0.2883635409962153,0.006623207998927683,36115,4013,0,0,67,9
10,XGBoost,9,0.05137773421230809,0.06998312259346301,0.9480534063735296,0.06341765098821962,0.08937280512957763,0.9169756213742741,0.2945125830010511,0.006375750002916902,36116,4012,0,0,67,9
10,XGBoost,10,0.05131468467366997,0.06989119335973899,0.9482190117830765,0.06272764544943642,0.0875680581924072,0.9199063507227963,0.2848415409971494,0.0069160420098342,36116,4012,0,0,67,9
